TradingDate,VIC,YEG
2016-08-24,29083.0,
2016-08-25,28963.0,
2016-08-26,28783.0,
2016-08-29,28783.0,
2016-08-30,28843.0,
2016-08-31,28843.0,
2016-09-01,28783.0,
2016-09-05,28723.0,
2016-09-06,28723.0,
2016-09-07,28483.0,
2016-09-08,28663.0,
2016-09-09,29263.0,
2016-09-12,29862.0,
2016-09-13,29442.0,
2016-09-14,28963.0,
2016-09-15,30265.0,
2016-09-16,31587.0,
2016-09-19,31073.0,
2016-09-20,31293.0,
2016-09-21,32101.0,
2016-09-22,32322.0,
2016-09-23,32579.0,
2016-09-26,32836.0,
2016-09-27,33754.0,
2016-09-28,32799.0,
2016-09-29,33020.0,
2016-09-30,32689.0,
2016-10-03,31587.0,
2016-10-04,32322.0,
2016-10-05,32175.0,
2016-10-06,31367.0,
2016-10-07,31440.0,
2016-10-10,30926.0,
2016-10-11,30926.0,
2016-10-12,31000.0,
2016-10-13,31587.0,
2016-10-14,31587.0,
2016-10-17,31587.0,
2016-10-18,31514.0,
2016-10-19,32175.0,
2016-10-20,31808.0,
2016-10-21,31587.0,
2016-10-24,31587.0,
2016-10-25,31367.0,
2016-10-26,31183.0,
2016-10-27,31440.0,
2016-10-28,31477.0,
2016-10-31,31220.0,
2016-11-01,31404.0,
2016-11-02,31073.0,
2016-11-03,31146.0,
2016-11-04,31146.0,
2016-11-07,31404.0,
2016-11-08,31440.0,
2016-11-09,31220.0,
2016-11-10,31440.0,
2016-11-11,32322.0,
2016-11-14,31514.0,
2016-11-15,31404.0,
2016-11-16,31367.0,
2016-11-17,31367.0,
2016-11-18,31293.0,
2016-11-21,31293.0,
2016-11-22,31293.0,
2016-11-23,31367.0,
2016-11-24,31220.0,
2016-11-25,31220.0,
2016-11-28,31220.0,
2016-11-29,30485.0,
2016-11-30,30853.0,
2016-12-01,30853.0,
2016-12-02,30853.0,
2016-12-05,30816.0,
2016-12-06,30632.0,
2016-12-07,30853.0,
2016-12-08,30853.0,
2016-12-09,30853.0,
2016-12-12,30853.0,
2016-12-13,30853.0,
2016-12-14,31183.0,
2016-12-15,30853.0,
2016-12-16,31220.0,
2016-12-19,31440.0,
2016-12-20,30742.0,
2016-12-21,30412.0,
2016-12-22,30853.0,
2016-12-23,30926.0,
2016-12-26,30853.0,
2016-12-27,31073.0,
2016-12-28,30559.0,
2016-12-29,30779.0,
2016-12-30,30853.0,
2017-01-03,30559.0,
2017-01-04,30889.0,
2017-01-05,31073.0,
2017-01-06,31661.0,
2017-01-09,31734.0,
2017-01-10,31514.0,
2017-01-11,31587.0,
2017-01-12,31587.0,
2017-01-13,31808.0,
2017-01-16,31477.0,
2017-01-17,31330.0,
2017-01-18,30926.0,
2017-01-19,30853.0,
2017-01-20,30853.0,
2017-01-23,30853.0,
